Demographic,Borough,Cohort,Total Cohort,Grads,Regents,Advanced Regents,Local,Dropped Out
Asian,Queens,2004,4773,3394,2944,1740,450,407
Asian,Queens,2005,4901,3683,3218,1839,465,304
Asian,Queens,2006,5035,3835,3472,1793,363,352
Asian,Staten Island,2001,333,268,225,138,43,16
Asian,Staten Island,2002,319,265,222,141,44,15
Asian,Staten Island,2003,362,302,261,152,41,18
Asian,Staten Island,2004,368,319,291,178,28,6
Asian,Staten Island,2005,379,326,296,187,30,6
Asian,Staten Island,2006,439,392,365,243,27,17
Black,Bronx,2001,3852,1662,800,158,862,770
Black,Bronx,2002,3965,1717,945,143,774,639
Black,Bronx,2003,4572,2186,1250,228,936,737
Black,Bronx,2004,4834,2497,1497,267,1000,697
Black,Bronx,2005,5048,2724,1771,261,953,678
Black,Bronx,2006,5161,2850,2089,269,761,771
Black,Brooklyn,2001,9382,4232,2137,546,2099,1543
Black,Brooklyn,2002,9789,4435,2591,586,1852,1428
Black,Brooklyn,2003,10350,4958,2942,730,2016,1410
Black,Brooklyn,2004,11070,5733,3641,927,2092,1320
Black,Brooklyn,2005,11098,5886,4033,868,1853,1214
Black,Brooklyn,2006,10886,6024,4424,870,1600,1320
Black,Manhattan,2001,3677,1935,1101,266,834,626
Black,Manhattan,2002,4045,2060,1276,223,789,591
Black,Manhattan,2003,3994,1917,1233,367,684,513
Black,Manhattan,2004,4128,2074,1360,329,714,545
Black,Manhattan,2005,4448,2423,1769,315,654,493
Black,Manhattan,2006,4655,2632,2088,342,544,502
Black,Queens,2001,4600,2146,1273,299,872,810
Black,Queens,2002,4800,2284,1368,295,917,788
Black,Queens,2003,5053,2561,1652,398,909,787
Black,Queens,2004,4949,2578,1708,399,870,701
Black,Queens,2005,5241,2882,2080,425,802,708
Black,Queens,2006,5139,2939,2202,405,737,689
Black,Staten Island,2001,621,282,161,39,122,100
Black,Staten Island,2002,686,334,203,39,132,90
Black,Staten Island,2003,739,396,260,59,136,72
Black,Staten Island,2004,694,349,247,78,102,90
Black,Staten Island,2005,778,429,289,62,140,87
Black,Staten Island,2006,771,427,333,85,94,104
Hispanic,Bronx,2001,6150,2261,1064,242,1198,1506
Hispanic,Bronx,2002,6623,2606,1325,228,1286,1378
Hispanic,Bronx,2003,7583,3131,1708,380,1423,1598
Hispanic,Bronx,2004,8009,3810,2146,432,1664,1490
Hispanic,Bronx,2005,8616,4356,2842,570,1514,1351
Hispanic,Bronx,2006,8850,4469,3121,534,1348,1507
Hispanic,Brooklyn,2001,4393,1619,815,278,806,1045
Hispanic,Brooklyn,2002,4662,1803,937,236,867,1052
Hispanic,Brooklyn,2003,4876,2055,1216,422,839,993
Hispanic,Brooklyn,2004,5170,2332,1485,480,847,973
Hispanic,Brooklyn,2005,5244,2529,1706,499,823,821
Hispanic,Brooklyn,2006,5327,2634,1976,461,658,903
Hispanic,Manhattan,2001,5739,2924,1678,389,1247,1127
Hispanic,Manhattan,2002,5985,2974,1823,379,1155,965
Hispanic,Manhattan,2003,6613,3126,1968,605,1158,1053
Hispanic,Manhattan,2004,7276,3747,2382,755,1365,1147
Hispanic,Manhattan,2005,7555,4231,2954,650,1276,942
Hispanic,Manhattan,2006,7766,4478,3514,699,964,1009
Hispanic,Queens,2001,5335,2371,1513,402,861,1051
Hispanic,Queens,2002,5952,2656,1822,476,835,1154
Hispanic,Queens,2003,5870,2709,1855,573,854,1106
Hispanic,Queens,2004,6424,3199,2340,758,859,1113
Hispanic,Queens,2005,6842,3540,2554,701,986,1132
Hispanic,Queens,2006,6867,3879,3068,765,811,989
Hispanic,Staten Island,2001,604,312,204,49,108,94
Hispanic,Staten Island,2002,731,349,228,51,121,133
Hispanic,Staten Island,2003,760,381,276,84,105,109
Hispanic,Staten Island,2004,829,429,312,85,117,118
Hispanic,Staten Island,2005,915,479,358,94,121,127
Hispanic,Staten Island,2006,906,547,425,114,122,116
White,Bronx,2001,756,485,368,280,117,95
White,Bronx,2002,696,473,379,267,94,73
White,Bronx,2003,649,423,351,238,72,87
White,Bronx,2004,681,467,388,269,79,83
White,Bronx,2005,644,432,365,244,67,72
White,Bronx,2006,636,444,396,254,48,77
White,Brooklyn,2001,3714,2345,1910,1074,438,646
White,Brooklyn,2002,3619,2315,1952,987,364,547
White,Brooklyn,2003,3195,2027,1760,908,267,510
White,Brooklyn,2004,3090,2070,1794,1004,276,416
White,Brooklyn,2005,2879,1978,1747,934,231,310
White,Brooklyn,2006,2850,1997,1798,930,199,301
White,Manhattan,2001,1633,1337,1132,570,206,107
White,Manhattan,2002,1640,1319,1162,561,157,87
White,Manhattan,2003,1493,1202,1075,665,127,77
White,Manhattan,2004,1580,1277,1186,647,91,53
White,Manhattan,2005,1647,1384,1268,635,116,59
White,Manhattan,2006,1743,1468,1380,603,88,48
White,Queens,2001,2807,1801,1394,713,413,372
White,Queens,2002,2839,1833,1509,712,325,383
White,Queens,2003,2580,1747,1441,703,306,341
White,Queens,2004,2397,1651,1387,690,264,252
White,Queens,2005,2361,1667,1369,635,298,248
White,Queens,2006,2387,1736,1484,654,252,206
White,Staten Island,2001,2304,1700,1309,650,391,205
White,Staten Island,2002,2389,1768,1384,628,384,187
White,Staten Island,2003,2336,1726,1366,586,360,171
White,Staten Island,2004,2243,1686,1366,687,320,167
White,Staten Island,2005,2368,1855,1521,715,334,139
White,Staten Island,2006,2461,1961,1678,746,283,174
Female,Bronx,2001,5532,2711,1409,519,1305,1052
Female,Bronx,2002,5835,2921,1652,474,1273,880
Female,Bronx,2003,6688,3498,2081,649,1417,1015
Female,Bronx,2004,7085,4091,2552,731,1539,980
Female,Bronx,2005,7288,4432,3010,809,1422,879
Female,Bronx,2006,7505,4455,3319,773,1136,1070
Female,Brooklyn,2001,9849,5538,3455,1568,2086,1446
Female,Brooklyn,2002,10253,5723,3861,1534,1867,1388
Female,Brooklyn,2003,10481,6147,4302,1827,1845,1317
Female,Brooklyn,2004,10918,6810,4905,2044,1905,1177
Female,Brooklyn,2005,10942,6867,5149,1939,1718,1032
Female,Brooklyn,2006,10790,7034,5618,2048,1416,1163
Female,Manhattan,2001,6720,4434,2995,1040,1440,831
Female,Manhattan,2002,7277,4652,3265,990,1394,806
Female,Manhattan,2003,7465,4619,3318,1507,1301,761
Female,Manhattan,2004,8070,5178,3743,1601,1435,803
Female,Manhattan,2005,8566,5784,4525,1546,1259,722
Female,Manhattan,2006,8907,6214,5205,1593,1009,753
Female,Queens,2001,8327,5089,3600,1566,1496,1064
Female,Queens,2002,8976,5511,4032,1695,1484,1124
Female,Queens,2003,8992,5779,4350,1877,1429,1051
Female,Queens,2004,9027,5883,4565,1959,1318,989
Female,Queens,2005,9252,6338,4937,2000,1401,949
Female,Queens,2006,9356,6578,5411,2065,1167,878
Female,Staten Island,2001,1805,1307,964,453,344,149
Female,Staten Island,2002,2023,1426,1092,461,335,186
Female,Staten Island,2003,2115,1515,1164,479,351,162
Female,Staten Island,2004,2050,1478,1185,568,293,156
Female,Staten Island,2005,2216,1633,1303,569,330,158
Female,Staten Island,2006,2190,1665,1389,619,276,179
Male,Bronx,2001,5921,2202,1235,479,966,1386
Male,Bronx,2002,6197,2407,1466,518,944,1260
Male,Bronx,2003,6944,2891,1780,606,1111,1457
Male,Bronx,2004,7279,3357,2073,664,1284,1323
Male,Bronx,2005,7887,3797,2608,735,1189,1268
Male,Bronx,2006,8074,4069,2993,785,1076,1332
Male,Brooklyn,2001,10112,4220,2722,1261,1505,2101
Male,Brooklyn,2002,10555,4614,3189,1331,1431,1981
Male,Brooklyn,2003,10853,4917,3409,1412,1508,1881
Male,Brooklyn,2004,11435,5493,3967,1697,1526,1796
Male,Brooklyn,2005,11389,5736,4339,1679,1397,1546
Male,Brooklyn,2006,11387,6006,4822,1669,1184,1568
Male,Manhattan,2001,5950,3046,1968,811,1079,1131
Male,Manhattan,2002,6186,3094,2232,882,865,937
Male,Manhattan,2003,6414,2994,2181,1020,813,968
Male,Manhattan,2004,7057,3602,2706,1210,896,1039
Male,Manhattan,2005,7277,4032,3098,1127,933,875
Male,Manhattan,2006,7509,4197,3510,1188,687,931
Male,Queens,2001,8684,4091,2852,1128,1242,1632
Male,Queens,2002,9286,4358,3218,1142,1140,1692
Male,Queens,2003,9423,4676,3567,1518,1109,1667
Male,Queens,2004,9698,5039,3885,1645,1154,1516
Male,Queens,2005,10259,5525,4353,1618,1172,1486
Male,Queens,2006,10202,5887,4874,1572,1013,1378
Male,Staten Island,2001,2067,1258,937,423,321,268
Male,Staten Island,2002,2111,1295,948,400,348,240
Male,Staten Island,2003,2103,1297,1005,404,292,212
Male,Staten Island,2004,2092,1310,1035,461,275,225
Male,Staten Island,2005,2244,1465,1164,490,301,204
Male,Staten Island,2006,2413,1681,1429,573,252,235
