time,bikeid,station_id,event
2015-02-01 00:46:00+00,20220,368,dock
2015-02-01 00:46:00+00,20530,345,undock
2015-02-01 00:47:00+00,18232,511,undock
2015-02-01 00:48:00+00,17299,174,dock
2015-02-01 00:48:00+00,18762,250,undock
2015-02-01 00:48:00+00,19687,449,undock
2015-02-01 00:49:00+00,18474,530,dock
2015-02-01 00:49:00+00,15667,250,undock
2015-02-01 00:49:00+00,14561,334,undock
2015-02-01 00:50:00+00,16301,498,undock
2015-02-01 00:50:00+00,20792,119,undock
2015-02-01 00:50:00+00,17416,173,undock
2015-02-01 00:50:00+00,17933,284,undock
2015-02-01 00:51:00+00,21115,521,dock
2015-02-01 00:52:00+00,14663,261,dock
2015-02-01 00:52:00+00,17289,268,dock
2015-02-01 00:52:00+00,19687,457,dock
2015-02-01 00:52:00+00,14691,453,undock
2015-02-01 00:52:00+00,17783,438,undock
2015-02-01 00:52:00+00,20570,293,undock
2015-02-01 00:53:00+00,18344,150,undock
2015-02-01 00:53:00+00,14677,195,undock
2015-02-01 00:54:00+00,20150,263,dock
2015-02-01 00:54:00+00,16260,401,undock
2015-02-01 00:54:00+00,18485,274,undock
2015-02-01 00:55:00+00,18232,410,dock
2015-02-01 00:55:00+00,14561,492,dock
2015-02-01 00:55:00+00,14677,264,dock
2015-02-01 00:55:00+00,17661,401,undock
2015-02-01 00:56:00+00,19570,500,dock
2015-02-01 00:56:00+00,14924,500,dock
2015-02-01 00:56:00+00,18762,2009,dock
2015-02-01 00:56:00+00,16118,271,undock
2015-02-01 00:57:00+00,17933,496,dock
2015-02-01 00:57:00+00,20570,445,dock
2015-02-01 00:58:00+00,17416,305,dock
2015-02-01 00:58:00+00,14706,151,undock
2015-02-01 00:58:00+00,16091,279,undock
2015-02-01 00:59:00+00,18410,372,dock
2015-02-01 00:59:00+00,20792,420,dock
2015-02-01 00:59:00+00,17783,491,dock
2015-02-01 01:00:00+00,15667,411,dock
2015-02-01 01:00:00+00,16260,483,dock
2015-02-01 01:00:00+00,18485,258,dock
2015-02-01 01:00:00+00,16091,264,dock
2015-02-01 01:03:00+00,20142,438,undock
2015-02-01 01:04:00+00,16301,504,dock
2015-02-01 01:04:00+00,18344,497,dock
2015-02-01 01:04:00+00,20684,403,undock
2015-02-01 01:07:00+00,20530,421,dock
2015-02-01 01:07:00+00,20142,297,dock
2015-02-01 01:09:00+00,14706,433,dock
2015-02-01 01:10:00+00,20684,336,dock
2015-02-01 01:10:00+00,15792,438,undock
2015-02-01 01:11:00+00,15185,490,undock
2015-02-01 01:11:00+00,19506,128,undock
2015-02-01 01:11:00+00,15327,504,undock
2015-02-01 01:12:00+00,15552,293,undock
2015-02-01 01:13:00+00,17994,453,undock
2015-02-01 01:13:00+00,16235,250,undock
2015-02-01 01:13:00+00,20740,444,undock
2015-02-01 01:13:00+00,15173,504,undock
2015-02-01 01:15:00+00,20333,445,undock
2015-02-01 01:15:00+00,19040,345,undock
2015-02-01 01:16:00+00,16118,271,dock
2015-02-01 01:16:00+00,15792,545,dock
2015-02-01 01:16:00+00,15327,507,dock
2015-02-01 01:17:00+00,15173,2012,dock
2015-02-01 01:17:00+00,19040,284,dock
2015-02-01 01:17:00+00,16254,328,undock
2015-02-01 01:19:00+00,15185,479,dock
2015-02-01 01:19:00+00,16235,401,dock
2015-02-01 01:19:00+00,20740,507,dock
2015-02-01 01:20:00+00,19445,383,undock
2015-02-01 01:22:00+00,17994,546,dock
2015-02-01 01:22:00+00,16254,276,dock
2015-02-01 01:22:00+00,18487,212,undock
2015-02-01 01:22:00+00,15676,2022,undock
2015-02-01 01:22:00+00,19269,151,undock
2015-02-01 01:23:00+00,19506,502,dock
2015-02-01 01:23:00+00,20333,297,dock
2015-02-01 01:23:00+00,19718,503,undock
2015-02-01 01:23:00+00,20638,237,undock
2015-02-01 01:24:00+00,20286,405,undock
2015-02-01 01:26:00+00,20638,293,dock
2015-02-01 01:27:00+00,19269,2010,dock
2015-02-01 01:28:00+00,17783,491,undock
2015-02-01 01:29:00+00,15552,363,dock
2015-02-01 01:29:00+00,18620,276,undock
2015-02-01 01:29:00+00,21046,325,undock
2015-02-01 01:30:00+00,17817,284,undock
2015-02-01 01:30:00+00,20117,486,undock
2015-02-01 01:31:00+00,21046,483,dock
2015-02-01 01:31:00+00,18929,324,undock
2015-02-01 01:31:00+00,14707,417,undock
2015-02-01 01:31:00+00,19358,497,undock
2015-02-01 01:32:00+00,19445,403,dock
2015-02-01 01:32:00+00,20117,498,dock
2015-02-01 01:33:00+00,17783,496,dock
2015-02-01 01:33:00+00,18667,444,undock
2015-02-01 01:33:00+00,17754,291,undock
2015-02-01 01:34:00+00,18881,479,undock
2015-02-01 01:35:00+00,20260,348,undock
2015-02-01 01:35:00+00,20322,485,undock
2015-02-01 01:36:00+00,19358,229,dock
2015-02-01 01:37:00+00,17817,489,dock
2015-02-01 01:37:00+00,14707,306,dock
2015-02-01 01:37:00+00,16235,401,undock
2015-02-01 01:37:00+00,16528,2021,undock
2015-02-01 01:38:00+00,18620,368,dock
2015-02-01 01:38:00+00,20381,404,undock
2015-02-01 01:38:00+00,16810,285,undock
2015-02-01 01:38:00+00,21462,312,undock
2015-02-01 01:39:00+00,17754,411,dock
2015-02-01 01:39:00+00,15391,432,undock
2015-02-01 01:41:00+00,18198,236,undock
2015-02-01 01:41:00+00,20015,285,undock
2015-02-01 01:41:00+00,16455,164,undock
2015-02-01 01:41:00+00,19837,449,undock
2015-02-01 01:42:00+00,17661,237,dock
2015-02-01 01:42:00+00,19718,229,dock
2015-02-01 01:42:00+00,20286,266,dock
2015-02-01 01:42:00+00,18929,366,dock
2015-02-01 01:42:00+00,17661,237,undock
2015-02-01 01:43:00+00,15676,477,dock
2015-02-01 01:44:00+00,19837,495,dock
2015-02-01 01:44:00+00,15230,499,undock
2015-02-01 01:45:00+00,16528,480,dock
2015-02-01 01:45:00+00,21462,128,dock
2015-02-01 01:45:00+00,19834,368,undock
2015-02-01 01:45:00+00,16863,478,undock
2015-02-01 01:46:00+00,18667,375,dock
2015-02-01 01:46:00+00,16455,527,dock
2015-02-01 01:46:00+00,18853,501,undock
2015-02-01 01:47:00+00,20322,297,dock
2015-02-01 01:48:00+00,18881,2023,dock
2015-02-01 01:48:00+00,16810,411,dock
2015-02-01 01:48:00+00,20015,393,dock
2015-02-01 01:48:00+00,17661,401,dock
2015-02-01 01:49:00+00,20260,317,dock
2015-02-01 01:50:00+00,15782,511,undock
2015-02-01 01:51:00+00,18487,518,dock
2015-02-01 01:51:00+00,16235,537,dock
2015-02-01 01:51:00+00,20929,433,undock
2015-02-01 01:52:00+00,15391,263,dock
2015-02-01 01:52:00+00,18198,454,dock
2015-02-01 01:52:00+00,17886,237,undock
2015-02-01 01:54:00+00,20381,251,dock
2015-02-01 01:54:00+00,14833,238,undock
2015-02-01 01:54:00+00,21462,128,undock
2015-02-01 01:55:00+00,17886,432,dock
2015-02-01 01:55:00+00,15713,401,undock
2015-02-01 01:56:00+00,20929,266,dock
2015-02-01 01:57:00+00,18051,336,undock
2015-02-01 01:58:00+00,16863,509,dock
2015-02-01 01:58:00+00,17365,2002,undock
2015-02-01 01:59:00+00,15713,428,dock
2015-02-01 02:02:00+00,21462,312,dock
2015-02-01 02:04:00+00,19834,447,dock
2015-02-01 02:06:00+00,14878,312,undock
2015-02-01 02:07:00+00,15230,475,dock
2015-02-01 02:07:00+00,14769,444,undock
2015-02-01 02:08:00+00,18853,223,dock
2015-02-01 02:12:00+00,17661,401,undock
2015-02-01 02:12:00+00,19513,435,undock
2015-02-01 02:12:00+00,17122,403,undock
2015-02-01 02:13:00+00,14833,251,dock
2015-02-01 02:13:00+00,15586,335,undock
2015-02-01 02:14:00+00,17365,307,dock
2015-02-01 02:14:00+00,18872,499,undock
2015-02-01 02:14:00+00,14712,157,undock
2015-02-01 02:14:00+00,17925,237,undock
2015-02-01 02:15:00+00,15782,446,dock
2015-02-01 02:15:00+00,14769,482,dock
2015-02-01 02:16:00+00,19794,404,undock
2015-02-01 02:16:00+00,18984,267,undock
2015-02-01 02:17:00+00,14878,358,dock
2015-02-01 02:19:00+00,17925,312,dock
2015-02-01 02:19:00+00,19834,447,undock
2015-02-01 02:19:00+00,18043,317,undock
2015-02-01 02:21:00+00,15586,503,dock
2015-02-01 02:21:00+00,18299,528,undock
2015-02-01 02:22:00+00,14712,83,dock
2015-02-01 02:22:00+00,18043,511,dock
2015-02-01 02:22:00+00,21117,445,undock
2015-02-01 02:22:00+00,18100,285,undock
2015-02-01 02:23:00+00,17122,537,dock
2015-02-01 02:23:00+00,18872,228,dock
2015-02-01 02:23:00+00,20353,472,undock
2015-02-01 02:24:00+00,18984,448,dock
2015-02-01 02:25:00+00,18100,237,dock
2015-02-01 02:25:00+00,21554,151,undock
2015-02-01 02:26:00+00,19513,488,dock
2015-02-01 02:27:00+00,18051,236,dock
2015-02-01 02:27:00+00,21117,439,dock
2015-02-01 02:28:00+00,20353,507,dock
2015-02-01 02:28:00+00,20353,507,undock
2015-02-01 02:28:00+00,15715,128,undock
2015-02-01 02:29:00+00,18299,236,dock
2015-02-01 02:29:00+00,15023,128,undock
2015-02-01 02:32:00+00,20353,237,dock
2015-02-01 02:32:00+00,15715,250,dock
2015-02-01 02:33:00+00,20191,461,undock
2015-02-01 02:37:00+00,17661,401,dock
2015-02-01 02:38:00+00,21554,476,dock
2015-02-01 02:38:00+00,15023,276,dock
2015-02-01 02:39:00+00,20191,476,dock
2015-02-01 02:39:00+00,18130,505,undock
2015-02-01 02:40:00+00,19794,447,dock
2015-02-01 02:40:00+00,19834,293,dock
2015-02-01 02:40:00+00,19545,236,undock
2015-02-01 02:41:00+00,19834,293,undock
2015-02-01 02:41:00+00,17968,478,undock
2015-02-01 02:42:00+00,19545,439,dock
2015-02-01 02:45:00+00,19473,382,undock
2015-02-01 02:46:00+00,18130,2021,dock
2015-02-01 02:46:00+00,17606,521,undock
2015-02-01 02:48:00+00,17968,465,dock
2015-02-01 02:48:00+00,20011,293,undock
2015-02-01 02:49:00+00,20910,250,undock
2015-02-01 02:51:00+00,19705,489,undock
2015-02-01 02:52:00+00,17010,498,undock
2015-02-01 02:53:00+00,19473,358,dock
2015-02-01 02:53:00+00,20011,317,dock
2015-02-01 02:54:00+00,19705,521,dock
2015-02-01 02:56:00+00,20910,410,dock
2015-02-01 02:57:00+00,16235,537,undock
2015-02-01 02:59:00+00,17606,300,dock
2015-02-01 03:00:00+00,17881,477,undock
2015-02-01 03:01:00+00,17010,478,dock
2015-02-01 03:03:00+00,16235,433,dock
2015-02-01 03:05:00+00,16202,411,undock
2015-02-01 03:05:00+00,14589,404,undock
2015-02-01 03:06:00+00,14937,477,undock
2015-02-01 03:11:00+00,17881,528,dock
2015-02-01 03:11:00+00,14589,127,dock
2015-02-01 03:11:00+00,16301,504,undock
2015-02-01 03:12:00+00,19834,373,dock
2015-02-01 03:14:00+00,14937,160,dock
2015-02-01 03:16:00+00,16301,507,dock
2015-02-01 03:18:00+00,16202,531,dock
2015-02-01 03:19:00+00,14837,250,undock
2015-02-01 03:21:00+00,14631,161,undock
2015-02-01 03:23:00+00,18287,491,undock
2015-02-01 03:25:00+00,18287,546,dock
2015-02-01 03:26:00+00,14837,150,dock
2015-02-01 03:26:00+00,14574,505,undock
2015-02-01 03:26:00+00,16436,438,undock
2015-02-01 03:27:00+00,14631,223,dock
2015-02-01 03:28:00+00,18573,453,undock
2015-02-01 03:28:00+00,19040,284,undock
2015-02-01 03:29:00+00,16436,504,dock
2015-02-01 03:29:00+00,20727,472,undock
2015-02-01 03:32:00+00,20727,472,dock
2015-02-01 03:32:00+00,21046,483,undock
2015-02-01 03:33:00+00,17284,437,undock
2015-02-01 03:35:00+00,19040,285,dock
2015-02-01 03:39:00+00,17284,344,dock
2015-02-01 03:39:00+00,20358,393,undock
2015-02-01 03:41:00+00,18573,300,dock
2015-02-01 03:41:00+00,21046,268,dock
2015-02-01 03:41:00+00,17751,434,undock
2015-02-01 03:42:00+00,15185,479,undock
2015-02-01 03:43:00+00,14574,2004,dock
2015-02-01 03:44:00+00,17751,494,dock
2015-02-01 03:44:00+00,18968,482,undock
2015-02-01 03:45:00+00,17927,511,undock
2015-02-01 03:46:00+00,20358,403,dock
2015-02-01 03:47:00+00,17389,520,undock
2015-02-01 03:49:00+00,15185,267,dock
2015-02-01 03:52:00+00,18968,504,dock
2015-02-01 03:53:00+00,17389,153,dock
2015-02-01 03:57:00+00,18662,539,undock
2015-02-01 03:57:00+00,15290,252,undock
2015-02-01 04:00:00+00,17927,335,dock
2015-02-01 04:01:00+00,15290,128,dock
2015-02-01 04:03:00+00,18209,483,undock
2015-02-01 04:04:00+00,15420,251,undock
2015-02-01 04:06:00+00,20239,307,undock
2015-02-01 04:07:00+00,19756,470,undock
2015-02-01 04:09:00+00,20702,404,undock
2015-02-01 04:09:00+00,18336,236,undock
2015-02-01 04:11:00+00,18209,358,dock
2015-02-01 04:11:00+00,19756,494,dock
2015-02-01 04:11:00+00,18336,432,dock
2015-02-01 04:11:00+00,20621,2012,undock
2015-02-01 04:13:00+00,15420,383,dock
2015-02-01 04:15:00+00,20621,504,dock
2015-02-01 04:16:00+00,20702,382,dock
2015-02-01 04:20:00+00,20239,475,dock
2015-02-01 04:20:00+00,15691,403,undock
2015-02-01 04:22:00+00,18662,161,dock
2015-02-01 04:22:00+00,18487,518,undock
2015-02-01 04:25:00+00,18487,167,dock
2015-02-01 04:30:00+00,15691,380,dock
2015-02-01 04:35:00+00,17474,533,undock
2015-02-01 04:40:00+00,17474,515,dock
2015-02-01 04:44:00+00,14629,336,undock
2015-02-01 04:49:00+00,14629,382,dock
2015-02-01 04:52:00+00,19067,434,undock
2015-02-01 04:54:00+00,19780,281,undock
2015-02-01 04:55:00+00,16951,490,undock
2015-02-01 04:59:00+00,19067,521,dock
2015-02-01 05:01:00+00,14705,369,undock
2015-02-01 05:02:00+00,16951,448,dock
2015-02-01 05:10:00+00,15049,470,undock
2015-02-01 05:10:00+00,17299,174,undock
2015-02-01 05:11:00+00,19780,461,dock
2015-02-01 05:13:00+00,14705,403,dock
2015-02-01 05:15:00+00,17505,195,undock
2015-02-01 05:16:00+00,17299,518,dock
2015-02-01 05:19:00+00,17505,417,dock
2015-02-01 05:24:00+00,17252,161,undock
2015-02-01 05:28:00+00,21506,482,undock
2015-02-01 05:29:00+00,18958,515,undock
2015-02-01 05:30:00+00,17252,428,dock
2015-02-01 05:32:00+00,18958,495,dock
2015-02-01 05:34:00+00,15049,493,dock
2015-02-01 05:35:00+00,15049,493,undock
2015-02-01 05:36:00+00,21506,537,dock
2015-02-01 05:40:00+00,17965,482,undock
2015-02-01 05:42:00+00,15196,307,undock
2015-02-01 05:43:00+00,14982,488,undock
2015-02-01 05:45:00+00,21554,476,undock
2015-02-01 05:47:00+00,15049,465,dock
2015-02-01 05:47:00+00,14982,525,dock
2015-02-01 05:48:00+00,15196,386,dock
2015-02-01 05:52:00+00,17965,504,dock
2015-02-01 05:58:00+00,21554,173,dock
2015-02-01 05:58:00+00,16571,267,undock
2015-02-01 05:59:00+00,21671,150,undock
2015-02-01 06:02:00+00,16971,523,undock
2015-02-01 06:04:00+00,21671,403,dock
2015-02-01 06:06:00+00,16571,449,dock
2015-02-01 06:07:00+00,18093,379,undock
2015-02-01 06:08:00+00,18485,258,undock
2015-02-01 06:09:00+00,19287,350,undock
2015-02-01 06:10:00+00,15676,477,undock
2015-02-01 06:13:00+00,16971,527,dock
2015-02-01 06:13:00+00,19040,285,undock
2015-02-01 06:14:00+00,15282,164,undock
2015-02-01 06:17:00+00,18485,243,dock
2015-02-01 06:20:00+00,18093,538,dock
2015-02-01 06:20:00+00,17817,489,undock
2015-02-01 06:25:00+00,15282,281,dock
2015-02-01 06:26:00+00,19287,444,dock
2015-02-01 06:29:00+00,19040,477,dock
2015-02-01 06:30:00+00,17817,497,dock
2015-02-01 06:32:00+00,20530,421,undock
2015-02-01 06:33:00+00,15253,462,undock
2015-02-01 06:34:00+00,20530,270,dock
2015-02-01 06:37:00+00,15676,473,dock
2015-02-01 06:37:00+00,15253,116,dock
2015-02-01 06:37:00+00,21601,301,undock
2015-02-01 06:42:00+00,14720,252,undock
2015-02-01 06:42:00+00,16920,377,undock
2015-02-01 06:42:00+00,15722,531,undock
2015-02-01 06:42:00+00,18249,490,undock
2015-02-01 06:42:00+00,17122,537,undock
2015-02-01 06:43:00+00,19253,436,undock
2015-02-01 06:44:00+00,16118,271,undock
2015-02-01 06:45:00+00,19756,494,undock
2015-02-01 06:45:00+00,17751,494,undock
2015-02-01 06:49:00+00,21601,251,dock
2015-02-01 06:49:00+00,17122,486,dock
2015-02-01 06:49:00+00,17751,434,dock
2015-02-01 06:51:00+00,15722,307,dock
2015-02-01 06:51:00+00,18249,525,dock
2015-02-01 06:51:00+00,19756,470,dock
2015-02-01 06:52:00+00,19253,353,dock
2015-02-01 06:54:00+00,16920,295,dock
2015-02-01 06:54:00+00,20160,528,undock
2015-02-01 06:56:00+00,16118,2005,dock
2015-02-01 06:56:00+00,20252,515,undock
2015-02-01 06:56:00+00,16606,492,undock
2015-02-01 06:58:00+00,15327,507,undock
2015-02-01 06:59:00+00,15327,2012,dock
2015-02-01 06:59:00+00,19268,504,undock
2015-02-01 06:59:00+00,19823,488,undock
2015-02-01 07:01:00+00,16606,444,dock
2015-02-01 07:01:00+00,20342,143,undock
2015-02-01 07:01:00+00,18342,295,undock
2015-02-01 07:03:00+00,14720,305,dock
2015-02-01 07:03:00+00,20880,236,undock
2015-02-01 07:05:00+00,19736,514,undock
2015-02-01 07:05:00+00,18200,128,undock
2015-02-01 07:06:00+00,20252,352,dock
2015-02-01 07:07:00+00,20160,472,dock
2015-02-01 07:07:00+00,20880,445,dock
2015-02-01 07:10:00+00,18200,380,dock
2015-02-01 07:11:00+00,19823,507,dock
2015-02-01 07:12:00+00,21355,301,undock
2015-02-01 07:14:00+00,19736,459,dock
2015-02-01 07:14:00+00,16455,527,undock
2015-02-01 07:15:00+00,19268,458,dock
2015-02-01 07:16:00+00,16097,328,undock
2015-02-01 07:21:00+00,16951,448,undock
2015-02-01 07:21:00+00,17421,254,undock
2015-02-01 07:21:00+00,15977,301,undock
2015-02-01 07:23:00+00,21355,545,dock
2015-02-01 07:23:00+00,16097,147,dock
2015-02-01 07:24:00+00,20191,476,undock
2015-02-01 07:25:00+00,17299,518,undock
2015-02-01 07:27:00+00,18342,349,dock
2015-02-01 07:27:00+00,15977,229,dock
2015-02-01 07:27:00+00,19762,349,undock
2015-02-01 07:28:00+00,19186,325,undock
2015-02-01 07:30:00+00,17421,2004,dock
2015-02-01 07:31:00+00,16455,531,dock
2015-02-01 07:31:00+00,20191,442,dock
2015-02-01 07:31:00+00,20864,530,undock
2015-02-01 07:31:00+00,20180,345,undock
2015-02-01 07:32:00+00,17299,164,dock
2015-02-01 07:32:00+00,20325,468,undock
2015-02-01 07:32:00+00,16068,411,undock
2015-02-01 07:32:00+00,20160,472,undock
2015-02-01 07:33:00+00,16951,281,dock
2015-02-01 07:33:00+00,18929,366,undock
2015-02-01 07:35:00+00,20160,527,dock
2015-02-01 07:37:00+00,20160,527,undock
2015-02-01 07:38:00+00,14958,393,undock
2015-02-01 07:40:00+00,20342,457,dock
2015-02-01 07:40:00+00,20180,116,dock
2015-02-01 07:40:00+00,20160,472,dock
2015-02-01 07:40:00+00,16071,153,undock
2015-02-01 07:40:00+00,18805,482,undock
2015-02-01 07:40:00+00,21601,251,undock
2015-02-01 07:41:00+00,14958,301,dock
2015-02-01 07:41:00+00,17304,79,undock
2015-02-01 07:42:00+00,17456,307,undock
2015-02-01 07:43:00+00,18929,384,dock
2015-02-01 07:43:00+00,21601,348,dock
2015-02-01 07:43:00+00,15319,317,undock
2015-02-01 07:43:00+00,18131,477,undock
2015-02-01 07:44:00+00,16068,497,dock
2015-02-01 07:44:00+00,18805,496,dock
2015-02-01 07:45:00+00,15327,2012,undock
2015-02-01 07:45:00+00,19575,340,undock
2015-02-01 07:45:00+00,19377,500,undock
2015-02-01 07:46:00+00,19186,411,dock
2015-02-01 07:47:00+00,20325,459,dock
2015-02-01 07:47:00+00,15140,502,undock
2015-02-01 07:47:00+00,16803,393,undock
2015-02-01 07:47:00+00,18125,461,undock
2015-02-01 07:49:00+00,20864,537,dock
2015-02-01 07:49:00+00,20501,366,undock
2015-02-01 07:49:00+00,19484,3002,undock
2015-02-01 07:50:00+00,19377,522,dock
2015-02-01 07:50:00+00,15905,527,undock
2015-02-01 07:50:00+00,16477,366,undock
2015-02-01 07:50:00+00,16833,391,undock
2015-02-01 07:51:00+00,19762,334,dock
2015-02-01 07:51:00+00,18131,444,dock
2015-02-01 07:52:00+00,17304,401,dock
2015-02-01 07:52:00+00,16803,428,dock
2015-02-01 07:52:00+00,18125,236,dock
2015-02-01 07:52:00+00,14679,2012,undock
2015-02-01 07:52:00+00,19732,487,undock
2015-02-01 07:53:00+00,15319,2012,dock
2015-02-01 07:53:00+00,19575,276,dock
2015-02-01 07:53:00+00,19047,366,undock
2015-02-01 07:54:00+00,16071,153,dock
2015-02-01 07:54:00+00,17456,339,dock
2015-02-01 07:54:00+00,19484,417,dock
2015-02-01 07:54:00+00,20621,504,undock
2015-02-01 07:55:00+00,16477,239,dock
2015-02-01 07:55:00+00,16833,310,dock
2015-02-01 07:55:00+00,19067,521,undock
2015-02-01 07:56:00+00,15327,379,dock
2015-02-01 07:56:00+00,17965,504,undock
2015-02-01 07:56:00+00,15618,469,undock
2015-02-01 07:57:00+00,20501,323,dock
2015-02-01 07:57:00+00,16349,254,undock
2015-02-01 07:58:00+00,19732,2012,dock
2015-02-01 07:58:00+00,17530,453,undock
2015-02-01 07:59:00+00,16539,458,undock
2015-02-01 07:59:00+00,17862,116,undock
2015-02-01 08:00:00+00,19047,324,dock
2015-02-01 08:00:00+00,15618,493,dock
2015-02-01 08:00:00+00,20860,487,undock
2015-02-01 08:00:00+00,14921,487,undock
2015-02-01 08:01:00+00,20621,168,dock
